Table Range A2: AV541 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY,JURS NAME,Planning period progress,Planning Period Length (Years),Planning Period Half-Way Point,1st APR,Last APR,Planning period beginning,Planning period end,Planning period,RHNA VLI,VLI PERMITS,VLI (DR) UNITS,VLI (NDR) UNITS,VLI REMAINING UNITS,VLI % Complete,Prorated VLI RHNA,Excess VLI,RHNA LI,LI PERMITS,LI (DR) UNITS,LI (NDR) UNITS,LI REMAINING UNITS,Lower Permits,Lower Remain,LI % Complete,LOWER % Complete,RHNA MOD,MOD PERMITS,MOD REMAINING UNITS,MOD % Complete,RHNA ABOVE MOD,ABOVE MOD PERMITS,ABOVE MOD REMAINING UNITS,ABOVE MOD % Complete,RHNA TOTAL,TOTAL UNITS,TOTAL RHNA REMAIN,PRORATION FACTOR,ON PACE?,STATUS,Exempt but for 2019 APR,50% but for 2019 APR,On Pace (w/Mod)?,VLI ON PACE?,LI ON PACE?,VLI AND LI PACE?,ABOVE MOD ON PACE?
MADERA,CHOWCHILLA,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,253,0,0,0,253,0.00%,127,0,190,0,0,0,190,0,190,0.00%,0.00%,204,24,180,11.76%,467,5,462,1.07%,1114,29,1085,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN DIEGO,CHULA VISTA,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,3209,115,115,0,3094,3.58%,1605,0,2439,565,565,0,1874,565,1874,23.17%,23.17%,2257,328,1929,14.53%,4956,8454,0,170.58%,12861,9462,3399,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SACRAMENTO,CITRUS HEIGHTS,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,146,9,0,9,137,6.16%,73,0,102,4,3,1,98,4,98,3.92%,3.92%,130,25,105,19.23%,318,89,229,27.99%,696,127,569,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,CLAREMONT,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,98,3,0,3,95,3.06%,49,0,59,2,0,2,57,2,57,3.39%,3.39%,64,41,23,64.06%,152,389,0,255.92%,373,435,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
CONTRA COSTA,CLAYTON,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,51,0,0,0,51,0.00%,26,0,25,2,0,2,23,2,23,8.00%,8.00%,31,0,31,0.00%,34,8,26,23.53%,141,10,131,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LAKE,CLEARLAKE,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,108,8,1,7,100,7.41%,108,0,67,2,0,2,65,2,65,2.99%,2.99%,87,8,79,9.20%,205,11,194,5.37%,467,29,438,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SONOMA,CLOVERDALE,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,39,25,25,0,14,64.10%,20,5,29,7,7,0,22,12,17,24.14%,41.38%,31,5,26,16.13%,112,77,35,68.75%,211,114,97,0.5,NO,Successful,NO,YES,NO,YES,NO,NO,YES
FRESNO,CLOVIS,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,2321,0,0,0,2321,0.00%,1161,0,1145,87,87,0,1058,87,1058,7.60%,7.60%,1018,2249,0,220.92%,1844,3747,0,203.20%,6328,6083,245,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
RIVERSIDE,COACHELLA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1555,78,78,0,1477,5.02%,778,0,1059,51,51,0,1008,51,1008,4.82%,4.82%,1212,0,1212,0.00%,2945,88,2857,2.99%,6771,217,6554,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
FRESNO,COALINGA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,150,36,36,0,114,24.00%,75,0,115,32,32,0,83,32,83,27.83%,27.83%,123,41,82,33.33%,201,152,49,75.62%,589,261,328,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
PLACER,COLFAX,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,10,0,0,0,10,0.00%,5,0,7,0,0,0,7,0,7,0.00%,0.00%,10,0,10,0.00%,24,20,4,83.33%,51,20,31,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN MATEO,COLMA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,20,31,31,0,0,155.00%,10,21,8,34,34,0,0,55,0,425.00%,687.50%,9,0,9,0.00%,22,10,12,45.45%,59,75,0,0.5,NO,Successful,NO,NO,NO,YES,YES,YES,NO
SAN BERNARDINO,COLTON,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,443,0,0,0,443,0.00%,222,0,302,0,0,0,302,0,302,0.00%,0.00%,347,13,334,3.75%,831,188,643,22.62%,1923,201,1722,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
COLUSA,COLUSA,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,79,0,0,0,79,0.00%,79,0,64,0,0,0,64,0,64,0.00%,0.00%,61,0,61,0.00%,150,9,141,6.00%,354,9,345,1,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
COLUSA,COLUSA COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,107,10,1,9,97,9.35%,107,0,91,6,0,6,85,6,85,6.59%,6.59%,91,72,19,79.12%,210,52,158,24.76%,499,140,359,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,COMMERCE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,12,,,,12,,6,0,7,,,,7,0,7,,0.00%,7,,7,,20,,20,,46,,46,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,COMPTON,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,0,0,0,1,0.00%,1,0,1,0,0,0,1,0,1,0.00%,0.00%,0,0,0,0.00%,0,73,0,0.00%,2,73,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
CONTRA COSTA,CONCORD,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,798,19,19,0,779,2.38%,399,0,444,3,3,0,441,3,441,0.68%,0.68%,559,5,554,0.89%,1677,214,1463,12.76%,3478,241,3237,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
CONTRA COSTA,CONTRA COSTA COUNTY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,374,63,62,1,311,16.84%,187,0,218,183,174,9,35,183,35,83.94%,83.94%,243,129,114,53.09%,532,1369,0,257.33%,1367,1744,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
KINGS,CORCORAN,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,215,0,0,0,215,0.00%,108,0,161,0,0,0,161,0,161,0.00%,0.00%,169,0,169,0.00%,401,0,401,0.00%,946,0,946,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
TEHAMA,CORNING,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,38,0,0,0,38,0.00%,38,0,30,0,0,0,30,0,30,0.00%,0.00%,33,4,29,12.12%,75,13,62,17.33%,176,17,159,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
RIVERSIDE,CORONA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,192,64,64,0,128,33.33%,96,0,128,91,91,0,37,91,37,71.09%,71.09%,142,67,75,47.18%,308,2341,0,760.06%,770,2563,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN DIEGO,CORONADO,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,13,12,12,0,1,92.31%,7,5,9,0,0,0,9,5,4,0.00%,55.56%,9,0,9,0.00%,19,345,0,1815.79%,50,357,0,0.5,NO,Successful,YES,NO,NO,YES,NO,NO,YES
MARIN,CORTE MADERA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,22,16,5,11,6,72.73%,11,5,13,13,13,0,0,18,0,100.00%,138.46%,13,8,5,61.54%,24,179,0,745.83%,72,216,0,0.5,YES,Successful,YES,NO,NO,YES,YES,YES,YES
ORANGE,COSTA MESA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,0,0,0,1,0.00%,1,0,1,7,0,7,0,7,0,700.00%,700.00%,0,53,0,0.00%,0,887,0,0.00%,2,947,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
SONOMA,COTATI,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,35,5,4,1,30,14.29%,18,0,18,16,3,13,2,16,2,88.89%,88.89%,18,15,3,83.33%,66,44,22,66.67%,137,80,57,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
LOS ANGELES,COVINA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,60,0,0,0,60,0.00%,30,0,35,0,0,0,35,0,35,0.00%,0.00%,38,0,38,0.00%,97,16,81,16.49%,230,16,214,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
DEL NORTE,CRESCENT CITY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,20,0,0,0,20,0.00%,20,0,13,0,0,0,13,0,13,0.00%,0.00%,10,11,0,110.00%,34,5,29,14.71%,77,16,61,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,CUDAHY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,80,2,2,0,78,2.50%,40,0,46,0,0,0,46,0,46,0.00%,0.00%,51,0,51,0.00%,141,10,131,7.09%,318,12,306,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,CULVER CITY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,48,6,6,0,42,12.50%,24,0,29,4,4,0,25,4,25,13.79%,13.79%,31,4,27,12.90%,77,417,0,541.56%,185,431,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SANTA CLARA,CUPERTINO,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,356,19,18,1,337,5.34%,178,0,207,0,0,0,207,0,207,0.00%,0.00%,231,74,157,32.03%,270,215,55,79.63%,1064,308,756,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ORANGE,CYPRESS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,71,9,9,0,62,12.68%,36,0,50,8,8,0,42,8,42,16.00%,16.00%,56,11,45,19.64%,131,553,0,422.14%,308,581,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN MATEO,DALY CITY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,400,59,59,0,341,14.75%,200,0,188,294,205,89,0,294,0,156.38%,156.38%,221,132,89,59.73%,541,359,182,66.36%,1350,844,506,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
ORANGE,DANA POINT,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,76,0,0,0,76,0.00%,38,0,53,9,0,9,44,9,44,16.98%,16.98%,61,26,35,42.62%,137,406,0,296.35%,327,441,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
CONTRA COSTA,DANVILLE,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,196,10,10,0,186,5.10%,98,0,111,23,4,19,88,23,88,20.72%,20.72%,124,42,82,33.87%,126,383,0,303.97%,557,458,99,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
YOLO,DAVIS,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,248,109,109,0,139,43.95%,124,0,174,151,108,43,23,151,23,86.78%,86.78%,198,397,0,200.51%,446,648,0,145.29%,1066,1305,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
SAN DIEGO,DEL MAR,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,7,0,0,0,7,0.00%,4,0,5,1,1,0,4,1,4,20.00%,20.00%,15,4,11,26.67%,34,33,1,97.06%,61,38,23,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
DEL NORTE,DEL NORTE COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,60,48,20,28,12,80.00%,60,0,37,31,1,30,6,31,6,83.78%,83.78%,30,36,0,120.00%,106,107,0,100.94%,233,222,11,1,NO,Successful,NO,YES,NO,NO,NO,NO,YES
MONTEREY,DEL REY OAKS,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,7,0,0,0,7,0.00%,4,0,4,0,0,0,4,0,4,0.00%,0.00%,5,0,5,0.00%,11,0,11,0.00%,27,0,27,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
KERN,DELANO,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,396,0,0,0,396,0.00%,198,0,277,0,0,0,277,0,277,0.00%,0.00%,243,118,125,48.56%,546,90,456,16.48%,1462,208,1254,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
RIVERSIDE,DESERT HOT SPRINGS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,946,53,10,43,893,5.60%,473,0,661,2,0,2,659,2,659,0.30%,0.30%,772,54,718,6.99%,1817,0,1817,0.00%,4196,109,4087,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,DIAMOND BAR,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,308,1,0,1,307,0.32%,154,0,182,5,0,5,177,5,177,2.75%,2.75%,190,0,190,0.00%,466,309,157,66.31%,1146,315,831,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,NO
TULARE,DINUBA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,211,45,43,2,166,21.33%,106,0,163,92,0,92,71,92,71,56.44%,56.44%,121,202,0,166.94%,470,243,227,51.70%,965,582,383,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
SOLANO,DIXON,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,50,0,0,0,50,0.00%,25,0,24,54,54,0,0,54,0,225.00%,225.00%,30,130,0,433.33%,93,191,0,205.38%,197,375,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
SISKIYOU,DORRIS,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,3,0,0,0,3,0.00%,3,0,2,1,1,0,1,1,1,50.00%,50.00%,2,1,1,50.00%,5,0,5,0.00%,12,2,10,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MERCED,DOS PALOS,50.00%,8,2020,2016,2023,3/31/16,3/31/24,31-MAR-16 - 31-MAR-24,71,0,0,0,71,0.00%,36,0,27,3,0,3,24,3,24,11.11%,11.11%,47,0,47,0.00%,124,0,124,0.00%,269,3,266,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,DOWNEY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,210,0,0,0,210,0.00%,105,0,123,6,6,0,117,6,117,4.88%,4.88%,135,70,65,51.85%,346,332,14,95.95%,814,408,406,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,DUARTE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,87,42,42,0,45,48.28%,44,0,53,7,1,6,46,7,46,13.21%,13.21%,55,3,52,5.45%,142,205,0,144.37%,337,257,80,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ALAMEDA,DUBLIN,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,796,26,26,0,770,3.27%,398,0,446,39,39,0,407,39,407,8.74%,8.74%,425,39,386,9.18%,618,3641,0,589.16%,2285,3745,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SISKIYOU,DUNSMUIR,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,6,0,0,0,6,0.00%,6,0,4,0,0,0,4,0,4,0.00%,0.00%,4,0,4,0.00%,9,3,6,33.33%,23,3,20,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN MATEO,EAST PALO ALTO,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,64,20,16,4,44,31.25%,32,0,54,34,32,2,20,34,20,62.96%,62.96%,83,35,48,42.17%,266,6,260,2.26%,467,95,372,0.5,NO,Successful,NO,NO,NO,NO,YES,NO,NO
RIVERSIDE,EASTVALE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,374,0,0,0,374,0.00%,187,0,250,0,0,0,250,0,250,0.00%,0.00%,274,0,274,0.00%,565,1600,0,283.19%,1463,1600,0,0.5,NO,Received - Not successful,NO,YES,NO,NO,NO,NO,YES
SAN DIEGO,EL CAJON,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,1448,48,48,0,1400,3.31%,724,0,1101,168,84,84,933,168,933,15.26%,15.26%,1019,34,985,3.34%,2237,429,1808,19.18%,5805,679,5126,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
IMPERIAL,EL CENTRO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,487,90,0,90,397,18.48%,244,0,300,97,14,83,203,97,203,32.33%,32.33%,297,257,40,86.53%,840,69,771,8.21%,1924,513,1411,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
CONTRA COSTA,EL CERRITO,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,100,118,118,0,0,118.00%,50,68,63,6,6,0,57,74,0,9.52%,117.46%,69,26,43,37.68%,166,403,0,242.77%,398,553,0,0.5,YES,Successful,YES,NO,NO,YES,NO,NO,YES
EL DORADO,EL DORADO COUNTY,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,1086,59,59,0,1027,5.43%,543,0,762,254,226,28,508,254,508,33.33%,33.33%,823,106,717,12.88%,1757,3821,0,217.47%,4428,4240,188,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,EL MONTE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,529,241,241,0,288,45.56%,265,0,315,36,36,0,279,36,279,11.43%,11.43%,352,2,350,0.57%,946,648,298,68.50%,2142,927,1215,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,NO
LOS ANGELES,EL SEGUNDO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,18,4,4,0,14,22.22%,9,0,11,2,2,0,9,2,9,18.18%,18.18%,12,0,12,0.00%,28,58,0,207.14%,69,64,5,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SACRAMENTO,ELK GROVE,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,2035,147,147,0,1888,7.22%,1018,0,1427,108,108,0,1319,108,1319,7.57%,7.57%,1377,271,1106,19.68%,2563,4008,0,156.38%,7402,4534,2868,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ALAMEDA,EMERYVILLE,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,276,87,87,0,189,31.52%,138,0,211,19,19,0,192,19,192,9.00%,9.00%,259,25,234,9.65%,752,450,302,59.84%,1498,581,917,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,NO
SAN DIEGO,ENCINITAS,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,587,60,42,18,527,10.22%,294,0,446,34,23,11,412,34,412,7.62%,7.62%,413,43,370,10.41%,907,1048,0,115.55%,2353,1185,1168,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN JOAQUIN,ESCALON,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,103,0,0,0,103,0.00%,52,0,66,0,0,0,66,0,66,0.00%,0.00%,64,1,63,1.56%,192,17,175,8.85%,425,18,407,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN DIEGO,ESCONDIDO,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,1042,98,92,6,944,9.40%,521,0,791,92,89,3,699,92,699,11.63%,11.63%,733,51,682,6.96%,1609,1363,246,84.71%,4175,1604,2571,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,NO
SISKIYOU,ETNA,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,3,0,0,0,3,0.00%,3,0,2,0,0,0,2,0,2,0.00%,0.00%,2,1,1,50.00%,3,0,3,0.00%,10,1,9,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
HUMBOLDT,EUREKA,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,145,38,38,0,107,26.21%,145,0,96,67,61,6,29,67,29,69.79%,69.79%,104,8,96,7.69%,264,71,193,26.89%,609,184,425,1,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
TULARE,EXETER,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,143,0,0,0,143,0.00%,72,0,125,6,0,6,119,6,119,4.80%,4.80%,85,4,81,4.71%,272,14,258,5.15%,625,24,601,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MARIN,FAIRFAX,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,16,13,7,6,3,81.25%,8,5,11,60,48,12,0,65,0,545.45%,590.91%,11,4,7,36.36%,23,10,13,43.48%,61,87,0,0.5,NO,Successful,NO,NO,NO,YES,YES,YES,NO
SOLANO,FAIRFIELD,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,779,0,0,0,779,0.00%,390,0,404,0,0,0,404,0,404,0.00%,0.00%,456,362,94,79.39%,1461,2065,0,141.34%,3100,2427,673,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
TULARE,FARMERSVILLE,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,74,6,0,6,68,8.11%,37,0,65,13,6,7,52,13,52,20.00%,20.00%,68,11,57,16.18%,259,5,254,1.93%,466,35,431,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
HUMBOLDT,FERNDALE,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,6,0,0,0,6,0.00%,6,0,3,6,0,6,0,6,0,200.00%,200.00%,4,8,0,200.00%,8,4,4,50.00%,21,18,3,1,NO,Successful,NO,NO,NO,NO,YES,NO,NO
VENTURA,FILLMORE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,160,0,0,0,160,0.00%,80,0,112,0,0,0,112,0,112,0.00%,0.00%,128,19,109,14.84%,294,0,294,0.00%,694,19,675,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
FRESNO,FIREBAUGH,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,128,15,15,0,113,11.72%,64,0,169,17,15,2,152,17,152,10.06%,10.06%,204,0,204,0.00%,211,0,211,0.00%,712,32,680,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SACRAMENTO,FOLSOM,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,1218,21,20,1,1197,1.72%,609,0,854,89,86,3,765,89,765,10.42%,10.42%,862,806,56,93.50%,1699,2099,0,123.54%,4633,3015,1618,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN BERNARDINO,FONTANA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1442,63,63,0,1379,4.37%,721,0,974,147,147,0,827,147,827,15.09%,15.09%,1090,0,1090,0.00%,2471,2753,0,111.41%,5977,2963,3014,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
MENDOCINO,FORT BRAGG,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,5,0,0,0,5,0.00%,5,0,3,3,3,0,0,3,0,100.00%,100.00%,3,10,0,333.33%,9,21,0,233.33%,20,34,0,1,NO,Successful,NO,YES,NO,NO,YES,NO,YES
SISKIYOU,FORT JONES,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,2,0,0,0,2,0.00%,2,0,1,0,0,0,1,0,1,0.00%,0.00%,2,0,2,0.00%,4,0,4,0.00%,9,0,9,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
HUMBOLDT,FORTUNA,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,39,0,0,0,39,0.00%,39,0,24,0,0,0,24,0,24,0.00%,0.00%,27,46,0,170.37%,71,40,31,56.34%,161,86,75,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN MATEO,FOSTER CITY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,148,86,83,3,62,58.11%,74,12,87,49,49,0,38,61,26,56.32%,70.11%,76,14,62,18.42%,119,657,0,552.10%,430,806,0,0.5,NO,Successful,YES,NO,NO,NO,NO,NO,YES
ORANGE,FOUNTAIN VALLEY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,83,0,0,0,83,0.00%,42,0,59,30,0,30,29,30,29,50.85%,50.85%,65,12,53,18.46%,151,189,0,125.17%,358,231,127,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
FRESNO,FOWLER,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,123,0,0,0,123,0.00%,62,0,83,0,0,0,83,0,83,0.00%,0.00%,75,27,48,36.00%,243,154,89,63.37%,524,181,343,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ALAMEDA,FREMONT,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,1714,395,395,0,1319,23.05%,857,0,926,369,369,0,557,369,557,39.85%,39.85%,978,21,957,2.15%,1837,5270,0,286.88%,5455,6055,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
