"","Jurisdiction","County","COG","cyc5_projection_start","cyc5_projection_end","cyc5_planning_start","cyc5_planning_end","cyc5_current_compliance","cyc5_conditional_compliance","cyc5_cc_due","cyc5_cc_cleared","cyc5_planning_period_duration","req_4year_update","emergency_shelter_zone","cyc4_rezone_program","cyc4_unit_shortfall","cyc4_rezone_acres","cyc4_rezone_complete","cyc5_rezone_program","cyc5_unit_shortfall","cyc5_rezone_acres","cyc5_rezone_complete","charter_city","apr2013","apr2014","apr2015","apr2016","apr2017","apr2018","compliance"
"420","SAN MARCOS","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"421","SAN MARINO","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","Yes",1
"422","SAN MATEO","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"423","SAN MATEO COUNTY","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","Yes",1
"424","SAN PABLO","Contra Costa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"425","SAN RAFAEL","Marin County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","Yes","Yes","Yes","Yes","Yes",1
"426","SAN RAMON","Contra Costa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","Yes","Yes","Yes","Yes","Yes",1
"427","SAND CITY","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in - conditional","Yes",2016-12-15,2019-06-06,"8 Year",NA,"Yes","Yes",41,NA,"Yes","No",NA,NA,NA,"Yes","No","No","No","No","No","Yes",1
"428","SANGER","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in - conditional","Yes",NA,NA,"8 Year",NA,"Yes","Yes",796,NA,"No","Yes",284,14.2,"No",NA,"No","No","No","Yes","No","No",1
"429","SANTA ANA","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in","Yes",2014-10-15,2018-05-22,"8 Year",NA,"Yes","Yes",201,10.1,"Yes","No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"430","SANTA BARBARA","Santa Barbara County","Santa Barbara Council of Governments",2014-01-01,2022-09-30,2015-02-15,2023-02-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"431","SANTA BARBARA COUNTY","Santa Barbara County","Santa Barbara Council of Governments",2014-01-01,2022-09-30,2015-02-15,2023-02-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"432","SANTA CLARA","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","No","Yes","Yes","Yes","Yes",1
"433","SANTA CLARA COUNTY","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"434","SANTA CLARITA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"435","SANTA CRUZ","Santa Cruz County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"436","SANTA CRUZ COUNTY","Santa Cruz County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"437","SANTA FE SPRINGS","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"438","SANTA MARIA","Santa Barbara County","Santa Barbara Council of Governments",2014-01-01,2022-09-30,2015-02-15,2023-02-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"439","SANTA MONICA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"440","SANTA PAULA","Ventura County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","No","No","Yes","Yes",1
"441","SANTA ROSA","Sonoma County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","No",1
"442","SANTEE","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"443","SARATOGA","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","Yes",1
"444","SAUSALITO","Marin County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"445","SCOTTS VALLEY","Santa Cruz County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","Yes",1
"446","SEAL BEACH","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","No","Yes",1
"447","SEASIDE","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"out (draft)",NA,NA,NA,"8 year","Yes","Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",0
"448","SEBASTOPOL","Sonoma County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"449","SELMA","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"out (adopted)","Yes",NA,NA,"8 Year",NA,"Yes","Yes",169,8.5,"No","No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","No",0
"450","SHAFTER","Kern County","KernCOG",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","No","No",1
"451","SHASTA COUNTY","Shasta County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"Yes",197,9.85,"No",NA,"No","No","No","No","Yes","Yes",1
"452","SHASTA LAKE","Shasta County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"453","SIERRA COUNTY","Sierra County","Sierra Planning Organization",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"454","SIERRA MADRE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"455","SIGNAL HILL","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"456","SIMI VALLEY","Ventura County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"457","SISKIYOU COUNTY","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","No","No","No","No",1
"458","SOLANA BEACH","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"459","SOLANO COUNTY","Solano County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"460","SOLEDAD","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","Yes",1
"461","SOLVANG","Santa Barbara County","Santa Barbara Council of Governments",2014-01-01,2022-09-30,2015-02-15,2023-02-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","Yes","Yes","Yes","Yes",1
"462","SONOMA","Sonoma County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","Yes","Yes","Yes",1
"463","SONOMA COUNTY","Sonoma County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"464","SONORA","Tuolumne County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"465","SOUTH EL MONTE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (adopted)",NA,NA,NA,"8 year","Yes","Yes","Yes",43,NA,"Yes","Yes",35,NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","Yes",0
"466","SOUTH GATE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"467","SOUTH LAKE TAHOE","El Dorado County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","Yes","Yes",1
"468","SOUTH PASADENA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"469","SOUTH SAN FRANCISCO","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"470","STANISLAUS COUNTY","Stanislaus County","Stanislaus Council of Governments ",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"471","STANTON","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"472","STOCKTON","San Joaquin County","San Joaquin County Council of Governments ",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"473","SUISUN CITY","Solano County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"474","SUNNYVALE","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"475","SUSANVILLE","Lassen County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"476","SUTTER COUNTY","Sutter County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","Yes",NA,9.41,"Yes","Yes",33,4.14,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"477","SUTTER CREEK","Amador County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","No",1
"478","TAFT","Kern County","KernCOG",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"479","TEHACHAPI","Kern County","KernCOG",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"480","TEHAMA","Tehama County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","No","No","Yes","Yes",1
"481","TEHAMA COUNTY","Tehama County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","No","Yes","Yes","Yes",1
"482","TEMECULA","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","Yes",2007,NA,"Yes","No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"483","TEMPLE CITY","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"484","THOUSAND OAKS","Ventura County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"485","TIBURON","Marin County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"486","TORRANCE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","Yes","Yes","Yes","Yes","Yes",1
"487","TRACY","San Joaquin County","San Joaquin County Council of Governments ",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"Yes",506,NA,"No",NA,"No","No","Yes","Yes","Yes","Yes",1
"488","TRINIDAD","Humboldt County","Humboldt County Association of Governments",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"out (due)",NA,NA,NA,"5 Year",NA,"Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,"No","No","No","No","No","No",0
"489","TRINITY COUNTY","Trinity County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"490","TRUCKEE","Nevada County","Sierra Planning Organization",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in","Yes",2015-06-30,2018-12-03,"5 Year",NA,"Yes","Yes",304,NA,"yes","Yes",83,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"491","TULARE","Tulare County","Tulare County Association of Governments",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in - conditional","Yes",2016-12-31,NA,"8 Year",NA,"Yes","Yes",969,NA,"No","Yes",1010,NA,"No","Yes","No","Yes","Yes","Yes","Yes","Yes",1
"492","TULARE COUNTY","Tulare County","Tulare County Association of Governments",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"493","TULELAKE","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"494","TUOLUMNE COUNTY","Tuolumne County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"495","TURLOCK","Stanislaus County","Stanislaus Council of Governments ",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","No",1
"496","TUSTIN","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"497","TWENTYNINE PALMS","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in","Yes",2014-10-15,2018-05-21,"8 Year",NA,"Yes","Yes",1182,NA,"Yes","No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"498","UKIAH","Mendocino County","Mendocino Council of Governments ",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"499","UNION CITY","Alameda County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in","Yes",2016-01-31,2018-05-11,"8 year",NA,"Yes","Yes",84,NA,"Yes","Yes",70,NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"500","UPLAND","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes","Yes",1
"501","VACAVILLE","Solano County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"502","VALLEJO","Solano County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","Yes","Yes","Yes",1
"503","VENTURA COUNTY","Ventura County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"504","VERNON","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","No","Yes",1
"505","VICTORVILLE","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in - conditional","Yes",2015-09-30,NA,"8 year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"506","VILLA PARK","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 year","Yes","Yes","Yes",3,NA,"Yes","Yes",5,NA,"Yes",NA,"No","No","No","No","Yes","Yes",1
"507","VISALIA","Tulare County","Tulare County Association of Governments",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"508","VISTA","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"509","WALNUT","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","No","Yes","Yes","Yes",1
"510","WALNUT CREEK","Contra Costa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","No","Yes","Yes","Yes",1
"511","WASCO","Kern County","KernCOG",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes","Yes",1
"512","WATERFORD","Stanislaus County","Stanislaus Council of Governments ",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","Yes",141,NA,"Yes","No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"513","WATSONVILLE","Santa Cruz County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","Yes","Yes","Yes",1
"514","WEED","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"515","WEST COVINA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"516","WEST HOLLYWOOD","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"517","WEST SACRAMENTO","Yolo County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"518","WESTLAKE VILLAGE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (adopted)",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"Yes",42,NA,"No",NA,"No","No","No","No","Yes","Yes",0
"519","WESTMINSTER","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"520","WESTMORLAND","Imperial County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (adopted)",NA,NA,NA,"8 year","Yes","Yes","Yes",103,NA,"No","Yes",92,NA,"No",NA,"Yes","Yes","Yes","Yes","Yes","Yes",0
"521","WHEATLAND","Yuba County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"out (draft)",NA,NA,NA,"8 year","Yes","Unknown","Unknown",343,NA,NA,"Unknown",186,NA,NA,NA,"No","No","No","No","Yes","No",0
"522","WHITTIER","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"523","WILDOMAR","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","Yes",538,NA,"Yes","Yes",521,25.96,"Yes",NA,"No","Yes","Yes","Yes","Yes","Yes",1
"524","WILLIAMS","Colusa County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
